query_id,corpus_id,score
q00001,MSFT20230016,0.7598145008087158
q00001,MSFT20230216,0.7327644228935242
q00001,MSFT20230128,0.7323052883148193
q00001,MSFT20231716,0.7323052883148193
q00001,MSFT20230026,0.6909976601600647
q00001,MSFT20230236,0.6745014190673828
q00001,MSFT20231728,0.6216562986373901
q00001,MSFT20230170,0.6180666089057922
q00001,MSFT20230469,0.6102914810180664
q00001,MSFT20230058,0.5789487361907959
q00002,MSFT20230566,0.6328891515731812
q00002,MSFT20231743,0.5677694082260132
q00002,MSFT20231766,0.5223245620727539
q00002,MSFT20230121,0.5038823485374451
q00002,MSFT20230122,0.4964117407798767
q00002,MSFT20231708,0.487771600484848
q00002,MSFT20230502,0.4817713797092438
q00002,MSFT20231710,0.3966294825077057
q00002,MSFT20231730,0.35079991817474365
q00002,MSFT20231768,0.3273354172706604
q00003,MSFT20230264,0.7661716341972351
q00003,MSFT20230058,0.22633056342601776
q00003,MSFT20230010,0.2108479142189026
q00003,MSFT20231752,0.1893414855003357
q00003,MSFT20231766,0.15988557040691376
q00003,MSFT20230144,0.14887464046478271
q00003,MSFT20230159,0.14857789874076843
q00003,MSFT20230140,0.14754317700862885
q00003,MSFT20230162,0.10372158139944077
q00003,MSFT20230509,0.08103135973215103
q00004,MSFT20230120,0.9065293073654175
q00004,MSFT20231728,0.7872945070266724
q00004,MSFT20230170,0.7870981693267822
q00004,MSFT20230521,0.7835419774055481
q00004,MSFT20230470,0.7267558574676514
q00004,MSFT20230963,0.7104078531265259
q00004,MSFT20230530,0.7050753235816956
q00004,MSFT20230319,0.5792344212532043
q00004,MSFT20230469,0.5760895013809204
q00004,MSFT20230058,0.49685126543045044
q00005,MSFT20230723,0.7072636485099792
q00005,MSFT20231297,0.703122079372406
q00005,MSFT20230713,0.5248093008995056
q00005,MSFT20230223,0.4952399432659149
q00005,MSFT20230225,0.38103586435317993
q00005,MSFT20230469,0.36963415145874023
q00005,MSFT20230470,0.35669365525245667
q00005,MSFT20230226,0.3514006435871124
q00005,MSFT20231370,0.26484814286231995
q00005,MSFT20231730,0.25948581099510193
q00006,MSFT20231300,0.5204237699508667
q00006,MSFT20231335,0.5136934518814087
q00006,MSFT20230722,0.3520686626434326
q00006,MSFT20230955,0.2809397876262665
q00006,MSFT20230469,0.18155358731746674
q00006,MSFT20230048,0.1786120980978012
q00006,MSFT20230010,0.14805980026721954
q00006,MSFT20230723,0.13415107131004333
q00006,MSFT20230058,0.12477738410234451
q00006,MSFT20230011,0.0675283744931221
q00007,MSFT20230544,0.8987045288085938
q00007,MSFT20231729,0.8803145289421082
q00007,MSFT20231766,0.8312667012214661
q00007,MSFT20230470,0.830278217792511
q00007,MSFT20231767,0.8173562288284302
q00007,MSFT20230966,0.8106142282485962
q00007,MSFT20230521,0.8098936080932617
q00007,MSFT20230963,0.7496195435523987
q00007,MSFT20230482,0.7099254131317139
q00007,MSFT20230530,0.6682965755462646
q00008,MSFT20231529,0.7458618879318237
q00008,MSFT20230508,0.7411689758300781
q00008,MSFT20230968,0.6255072951316833
q00008,MSFT20230733,0.5453589558601379
q00008,MSFT20230963,0.47548413276672363
q00008,MSFT20230966,0.4052845239639282
q00008,MSFT20231797,0.3432982265949249
q00008,MSFT20231014,0.30941009521484375
q00008,MSFT20231792,0.30164018273353577
q00008,MSFT20230606,0.14296048879623413
q00009,ADBE20231907,0.8138313293457031
q00009,ADBE20231681,0.7168736457824707
q00009,ADBE20231518,0.7168736457824707
q00009,ADBE20231062,0.5809471011161804
q00009,ADBE20230004,0.5202775597572327
q00009,ADBE20231131,0.49597230553627014
q00009,ADBE20230961,0.43280699849128723
q00009,ADBE20230209,0.41421207785606384
q00009,ADBE20230975,0.39908596873283386
q00009,ADBE20230052,0.23898546397686005
q00010,ADBE20230729,0.793122410774231
q00010,ADBE20230453,0.7859175205230713
q00010,ADBE20230727,0.7608821988105774
q00010,ADBE20230726,0.7515938878059387
q00010,ADBE20230725,0.7343677878379822
q00010,ADBE20230454,0.7026325464248657
q00010,ADBE20231494,0.6842012405395508
q00010,ADBE20231565,0.6742441058158875
q00010,ADBE20230728,0.6541223526000977
q00010,ADBE20230236,0.4822102189064026
q00011,ADBE20231702,0.5671941637992859
q00011,ADBE20231575,0.4457955062389374
q00011,ADBE20231218,0.4187687933444977
q00011,ADBE20231276,0.4187687933444977
q00011,ADBE20231102,0.4187687933444977
q00011,ADBE20231619,0.4187687933444977
q00011,ADBE20230910,0.41862618923187256
q00011,ADBE20230963,0.3921511471271515
