query_id,corpus_id
q1a731ee6,d1a731ff4
q1a731ee6,d1a731540
q1a731ee6,d1a73e024
q1a731ee6,d1a73fa6e
q1a731ee6,d1a735816
q1a731ee6,d1a737d96
q1a731ee6,d1a737b0c
q1a731ee6,d1a733a98
q1a731ee6,d1a734aec
q1a729624,d1a7296ba
q1a729624,d1b310168
q1a729624,d1b391948
q1a729624,d1b3c0586
q1a729624,d1b32fd60
q1a729624,d1b2f066a
q1a729624,d1b35b33e
q1a729624,d1b307b12
q1a729624,d1b31cf44
q1a729624,d1b33989c
q1a732468,d1a7324d6
q1a732468,d1a7384c6
q1a732468,d1a734402
q1a732468,d1a73f2c6
q1a732468,d1a736f40
q1a732468,d1a738034
q1a732468,d1a73b248
q1a732468,d1a735816
q1a732468,d1a73c530
q1a73f24e,d1a73f2c6
q1a73f24e,d1a730c3a
q1a73f24e,d1a734402
q1a73f24e,d1a738764
q1a73f24e,d1a73bfc2
q1a73f24e,d1a738034
q1a73f24e,d1a732ce2
q1a73f24e,d1a736f40
q1a73f24e,d1a735816
q1a73f24e,d1a73b248
q1a714760,d1a71479c
q1a714760,d1a7161fa
q1a714760,d1a71f084
q1a714760,d1a717032
q1a714760,d1a716c9a
q1a714760,d1a71f2f0
q1a714760,d1a712532
q1a714760,d1a717e60
q1a714760,d1a719738
q1a72d620,d1a72d756
q1a72d620,d1a721654
q1a72d620,d1a721fa0
q1a72d620,d1a727b8a
q1a72d620,d1a723a30
q1a72d620,d1a72e1ec
q1a72d620,d1a72bce4
q1a72d620,d1a72f8c6
q1a72d620,d1a722c66
q1a72d620,d1a726af0
q1a7212bc,d1a72135c
q1a7212bc,d1a7227c0
q1a7212bc,d1a7253e4
q1a7212bc,d1a72f362
q1a7212bc,d1a72cf18
q1a7212bc,d1a72991c
q1a7212bc,d1a72e818
q1a7212bc,d1a72bce4
q1a7212bc,d1a72fbe6
q1a7212bc,d1a722202
q1a73ceea,d1a737b0c
q1a73ceea,d1a73cf94
q1a73ceea,d1a7384c6
q1a73ceea,d1a7322b0
q1a73ceea,d1a73e024
q1a73ceea,d1a736f40
q1a73ceea,d1a735816
q1a73ceea,d1a73e9d4
q1a736734,d1a7367c0
q1a736734,d1a73cf94
q1a736734,d1a7322b0
q1a736734,d1a736f40
q1a736734,d1a73dc6e
q1a736734,d1a735816
q1a736734,d1a731c70
q1a736734,d1a73c530
q1a736734,d1a7310a4
q1a736734,d1a73e024
q1a71ef26,d1a7169c0
q1a71ef26,d1a71f084
q1a71ef26,d1a71b628
q1a71ef26,d1a715e30
q1a71ef26,d1a712532
q1a71ef26,d1a711c7c
q1a71ef26,d1a719184
q1a71ef26,d1a71fa20
q1a71ef26,d1a71479c
q1a72004c,d1a7200d8
q1a72004c,d1a7237ce
q1a72004c,d1a72135c
q1a72004c,d1a7265a0
q1a72004c,d1a72a5d8
q1a72004c,d1a72d184
q1a72004c,d1a722c66
q1a72004c,d1a7218e8
q1a72004c,d1a72aac4
q1a724868,d1a7249da
q1a724868,d1a726870
q1a724868,d1a72ba82
q1a724868,d1a724228
q1a724868,d1a72031c
q1a724868,d1a72ff9c
q1a724868,d1a7270c2
q1a724868,d1a72df58
q1a724868,d1a728170
q1a72559c,d1a7255f6
q1a72559c,d1a72d184
q1a72559c,d1a72bce4
q1a72559c,d1a722c66
q1a72559c,d1a723f4e
q1a72559c,d1a72dc10
q1a72559c,d1a72c798
q1a72559c,d1a72e818
q1a72559c,d1a72fbe6
q1a73e95c,d1a73e024
q1a73e95c,d1a73e9d4
q1a73e95c,d1a735816
q1a73e95c,d1a732ce2
q1a73e95c,d1a731540
q1a73e95c,d1a73ad20
q1a73e95c,d1a733a98
q1a73e95c,d1a734402
q1a73e95c,d1a734aec
q1a73e95c,d1a736f40
q1a73887c,d1a73899e
q1a73887c,d1a73a852
q1a73887c,d1a738034
q1a73887c,d1a731ff4
q1a73887c,d1a731748
q1a73887c,d1a739b32
q1a73887c,d1a73b824
q1a73887c,d1a731306
q1a73a7f8,d1a73a852
q1a73a7f8,d1a732ce2
q1a73a7f8,d1a739434
q1a73a7f8,d1a73715c
q1a73a7f8,d1a731306
q1a73a7f8,d1a736f40
q1a73a7f8,d1a738034
q1a73a7f8,d1a73899e
q1a73a7f8,d1a73bfc2
q1a72db5c,d1a7237ce
q1a72db5c,d1a72dc10
q1a72db5c,d1a72cf18
q1a72db5c,d1a7255f6
q1a72db5c,d1a72e818
q1a72db5c,d1a72ff9c
q1a72db5c,d1a72ed36
q1a72db5c,d1a72fbe6
q1a72db5c,d1a72d184
q1a72db5c,d1a722a18
q1a74019e,d1a740248
q1a74019e,d1a741bd4
q1a74019e,d1a74070c
q1a74019e,d1a7411b6
q1a74019e,d1a7419cc
q1a74019e,d1a741ec2
q1a74019e,d1a740c66
q1a74019e,d1a740464
q1a74019e,d1a7413dc
q1a72617c,d1a7261ea
q1a72617c,d1a72ccde
q1a72617c,d1a725f60
q1a72617c,d1a722a18
q1a72617c,d1a72bce4
q1a72617c,d1a72bf32
q1a72617c,d1a7253e4
q1a72617c,d1a72c798
q1a72617c,d1a72f8c6
q1a72617c,d1a726af0
q1a7200a6,d1a7200d8
q1a7200a6,d1a7237ce
q1a7200a6,d1a722c66
q1a7200a6,d1a729b42
q1a7200a6,d1a72135c
q1a7200a6,d1a7218e8
q1a7200a6,d1a72d184
q1a7200a6,d1a72bce4
q1a7200a6,d1a72aac4
q1a7229dc,d1a722a18
q1a7229dc,d1a722202
q1a7229dc,d1a7244a8
